request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days. The forecast uses confirmed income in messages."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,289.23,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Pay EUR 1,302.40 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,100 minimum; only EUR 289.23 is safe today. The forecast uses the latest payroll update and confirmed income in messages."
request_29,1855.42,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,282.04,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2700039.54,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum; only IDR 2,700,039.54 is safe today."
request_32,13339.36,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Pay ZAR 40,018 in full on 15 April 2025. Paying earlier would take the balance below the ZAR 35,700 minimum; only ZAR 13,339.36 is safe today. The forecast uses confirmed income in messages."
request_33,30731.19,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102,100 minimum; only INR 30,731.19 is safe today."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days. The forecast uses confirmed income in messages."
request_35,23153.93,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum; only INR 23,153.93 is safe today."
request_36,588.71,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 15 September 2026. Paying earlier would take the balance below the USD 2,400 minimum; only USD 588.71 is safe today. The forecast uses the latest payroll update."
request_37,4367687.16,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum; only IDR 4,367,687.16 is safe today. The forecast uses the latest payroll update and confirmed income in messages."
request_38,171.65,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum; only EUR 171.65 is safe today.
request_39,57446.07,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum; only INR 57,446.07 is safe today."
request_40,355.73,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Pay EUR 1,290.30 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1,500 minimum; only EUR 355.73 is safe today. The forecast uses confirmed income in messages."
request_41,7644359.43,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600 minimum; only IDR 7,644,359.43 is safe today."
request_42,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 113,100 minimum protected."
request_43,8273626.88,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum; only IDR 8,273,626.88 is safe today. The forecast uses confirmed income in messages."
request_44,30429.03,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 15 April 2025. Paying earlier would take the balance below the INR 82,900 minimum; only INR 30,429.03 is safe today. The forecast uses confirmed income in messages."
request_45,3361778.45,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum; only IDR 3,361,778.45 is safe today. The forecast uses the latest payroll update."
request_46,35318.22,affordable_with_plan,partial_payment,2024-12-03:35318.22|2024-12-15:14131.78,2024-12-15,none,"Pay INR 35,318.22 today and the remaining INR 14,131.78 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,1221224.89,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,12655596.66,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available. The forecast uses the latest payroll update."
request_50,0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2169453.40,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,19241.76,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum; only INR 19,241.76 is safe today. The forecast uses confirmed income in messages."
request_53,464.04,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,stop:event_4925,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,2083.52,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 2,083.52 is available today, the full amount cannot be completed safely by 21 August 2026 while keeping the ZAR 37,000 minimum. The forecast uses the latest payroll update."
request_55,128738.85,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,reduce_to:event_5167:2750,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,632.95,affordable_with_plan,partial_payment,2025-02-03:632.95|2025-02-15:248.61,2025-02-15,none,"Pay USD 632.95 today and the remaining USD 248.61 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,12819.59,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum; only ZAR 12,819.59 is safe today."
request_58,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2025. None of the available options keeps the IDR 14,433,900 minimum protected."
request_59,132758.53,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,117.62,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum; only USD 117.62 is safe today. The forecast uses the latest payroll update.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days. The forecast uses confirmed income in messages."
request_63,37534.99,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 37,534.99 is available today, the full amount cannot be completed safely by 17 September 2026 while keeping the INR 153,500 minimum."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5886.72,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,886.72 is available today, the full amount cannot be completed safely by 25 November 2025 while keeping the ZAR 15,500 minimum."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days. The forecast uses confirmed income in messages."
request_67,300.77,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum; only USD 300.77 is safe today."
request_68,1333.62,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available. The forecast uses the latest payroll update."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,50476.80,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum; only INR 50,476.80 is safe today."
request_71,244128.26,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 244,128.26 is available today, the full amount cannot be completed safely by 28 May 2025 while keeping the IDR 8,884,800 minimum. The forecast uses confirmed income in messages."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days. The forecast uses confirmed income in messages."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days. The forecast uses confirmed income in messages."
request_75,13211.67,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,717.14,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. Although USD 717.14 is available today, the full amount cannot be completed safely by 30 July 2024 while keeping the USD 1,800 minimum. The forecast uses the latest payroll update."
request_77,60102.73,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Stop the online backup subscription, then pay INR 60,700 today. This leaves at least INR 82,200 available."
request_78,45918.87,not_affordable,not_recommended,none,2025-10-15,none,"Do not proceed with the INR 50,200 request. Although INR 45,918.87 is available today, the full amount cannot be completed safely by 14 October 2025 while keeping the INR 55,200 minimum."
request_79,313.14,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 313.14 is available today, the full amount cannot be completed safely by 1 November 2024 while keeping the EUR 1,000 minimum."
request_80,110008.68,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500 request. Although INR 110,008.68 is available today, the full amount cannot be completed safely by 21 February 2025 while keeping the INR 121,300 minimum. The forecast uses the latest payroll update."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,313.89,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Pay USD 1,405.20 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,100 minimum; only USD 313.89 is safe today. The forecast uses the latest payroll update and confirmed income in messages."
request_83,7244.95,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 7,244.95 is available today, the full amount cannot be completed safely by 17 June 2025 while keeping the INR 37,800 minimum. The forecast uses confirmed income in messages."
request_84,21423.27,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum; only INR 21,423.27 is safe today."
request_85,392399.90,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 392,399.90 is available today, the full amount cannot be completed safely by 26 April 2024 while keeping the IDR 6,396,300 minimum. The forecast uses the latest payroll update."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,16918.39,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 16,918.39 is available today, the full amount cannot be completed safely by 15 March 2026 while keeping the INR 185,900 minimum. The forecast uses confirmed income in messages."
request_88,10735.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9392480.17,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8335|reduce_to:event_8403:203300,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days. The forecast uses confirmed income in messages."
request_91,316.20,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum; only EUR 316.20 is safe today."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days. The forecast uses the latest payroll update."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days. The forecast uses confirmed income in messages.
request_95,4648.03,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 4,648.03 is available today, the full amount cannot be completed safely by 14 July 2025 while keeping the INR 145,500 minimum. The forecast uses the latest payroll update."
request_96,72758.97,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,stop:event_8914,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1599.79,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,6553.27,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum; only ZAR 6,553.27 is safe today. The forecast uses confirmed income in messages."
